marca,linea,modelo,condición,combustible,color,transmisión,único_dueño,tipo_de_vendedor,kilometraje,puertas,precio
Renault,Sandero Stepway,2011,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,102000,5.0,24100000
Renault,Otros Modelos,2017,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,42234,4.0,44000000
Chevrolet,Aveo Emotion,2009,Usado,Gasolina,Verde,Mecánica,No,Persona Natural,142000,5.0,16500000
Mazda,626,2005,Usado,Gasolina,Gris,Automática,No,Persona Natural,205000,5.0,13000000
Renault,Clio,2005,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,180000,5.0,13000000
Kia,Otros Modelos,2014,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,45643,5.0,29000000
Chery,Nice,2012,Usado,Gasolina,Gris,Mecánica,No,Vendedor Profesional,103000,4.0,11400000
Toyota,Land Cruiser,1978,Usado,Diesel,Rojo,Mecánica,No,Persona Natural,10000,2.0,35000000
Chevrolet,Spark,2009,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,116000,4.0,12600000
Mazda,2,2010,Usado,Gasolina,Gris,Automática,No,Persona Natural,106000,5.0,24000000
Chevrolet,Sail,2014,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,112000,4.0,22000000
Nissan,X-Trail,2005,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,189000,5.0,24000000
Renault,Kangoo,2014,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,68300,4.0,22500000
Kia,Cerato Koup,2012,Usado,Gasolina,Blanco,Mecánica,No,Vendedor Profesional,86000,2.0,32500000
Chevrolet,Corsa 2 Ptas.,2006,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,151000,3.0,11000000
Renault,Twingo,2007,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,133000,3.0,11200000
Chevrolet,Spark,2017,Usado,Gasolina,Otro,Mecánica,No,Persona Natural,66000,4.0,20000000
Audi,Q5,2011,Usado,Diesel,Gris,Automática Secuencial,No,Persona Natural,136000,5.0,65000000
Hyundai,Tucson,2019,Usado,Gasolina,Blanco,Automática Secuencial,Sí,Persona Natural,14101,5.0,78500000
Renault,Duster,2013,Usado,Gasolina,Dorado,Mecánica,No,Persona Natural,88230,5.0,31500000
Chevrolet,Aveo,2008,Usado,Gasolina,Beige,Mecánica,No,Persona Natural,122000,5.0,15700000
Chevrolet,Sonic,2012,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,47700,4.0,29500000
Chevrolet,Aveo Emotion,2009,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,89000,5.0,19500000
Toyota,Prado,2007,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,180000,3.0,43000000
Mazda,3,2019,Usado,Gasolina,Gris,Automática Secuencial,Sí,Persona Natural,10000,4.0,73800000
Chevrolet,Aveo,2008,Usado,Gasolina,Azul,Mecánica,Sí,Persona Natural,86000,3.0,16500000
Chevrolet,Corsa 4 Ptas.,2002,Usado,Gasolina,Plateado,Mecánica,Sí,Persona Natural,460000,4.0,9100000
Hyundai,Tucson,2008,Usado,Diesel,Verde,Mecánica,No,Vendedor Profesional,136000,5.0,29000000
Chevrolet,Swift,1998,Usado,Gasolina,Rojo,Mecánica,No,Persona Natural,17200,5.0,5500000
Renault,Logan,2016,Usado,Gasolina,Gris,Automática,Sí,Persona Natural,53000,5.0,32000000
Volkswagen,Jetta,2008,Usado,Gasolina,Gris,Automática Secuencial,No,Persona Natural,92000,4.0,19500000
Renault,Sandero,2010,Usado,Gasolina,Beige,Mecánica,No,Persona Natural,117200,5.0,19500000
Chevrolet,Aveo Emotion,2014,Usado,Gasolina,Gris,Automática,No,Persona Natural,70000,4.0,24000000
Volkswagen,Jetta,2011,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,88000,4.0,32000000
Nissan,D-22,2011,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,91300,4.0,32500000
Mitsubishi,Montero,1998,Usado,Gasolina y Gas,Verde,Automática,No,Persona Natural,420000,2.0,7000000
Renault,Logan,2017,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,25000,4.0,27000000
Renault,Duster,2013,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,89000,5.0,39600000
Chevrolet,Sail,2017,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,40000,5.0,25000000
Mazda,2,2008,Usado,Gasolina,Blanco,Automática,No,Persona Natural,145000,4.0,23500000
Renault,Clio,2007,Usado,Gasolina,Verde,Mecánica,No,Persona Natural,136000,5.0,13000000
Mitsubishi,Space Wagon,1994,Usado,Gasolina,Vinotinto,Mecánica,No,Persona Natural,217000,5.0,12200000
Chevrolet,Cruze,2013,Usado,Gasolina,Gris,Automática,No,Persona Natural,85000,5.0,35000000
Renault,R19,1996,Usado,Gasolina,Vinotinto,Mecánica,No,Persona Natural,350000,5.0,4800000
Chevrolet,Spark GT,2017,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,53000,4.0,28000000
Renault,Sandero Stepway,2010,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,102000,5.0,22500000
Mazda,323,1992,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,373756,5.0,6450000
Citroen,C4,2012,Usado,Gasolina,Blanco,Automática,No,Persona Natural,88000,5.0,33000000
Mazda,Mazda 2,2011,Usado,Gasolina,Plateado,Automática,Sí,Persona Natural,103000,5.0,26000000
Kia,Sorento,2013,Usado,Gasolina,Blanco,Automática,Sí,Persona Natural,125000,5.0,50000000
Ford,Fiesta,2017,Usado,Gasolina,Blanco,Automática Secuencial,Sí,Persona Natural,50000,4.0,40900000
Chevrolet,Aveo Emotion,2008,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,95500,4.0,19000000
Chevrolet,Luv D-Max,2012,Usado,Diesel,Negro,Mecánica,Sí,Persona Natural,225200,5.0,54000000
Chevrolet,Optra,2007,Usado,Gasolina,Gris,Automática,No,Persona Natural,160000,4.0,18000000
Renault,Clio,1998,Usado,Gasolina,Gris,Mecánica,No,Vendedor Profesional,280000,4.0,6000000
Kia,New Sportage,2016,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,36000,5.0,63500000
Chevrolet,Sail,2015,Usado,Gasolina,Gris,Mecánica,Sí,Vendedor Profesional,116000,5.0,17500000
Toyota,Hilux,2003,Usado,Gasolina y Gas,Gris,Automática,No,Persona Natural,300000,4.0,37000000
Renault,Twingo,2004,Usado,Gasolina,Beige,Mecánica,No,Persona Natural,170000,3.0,9800000
Kia,Picanto,2008,Usado,Gasolina,Negro,Mecánica,No,Persona Natural,146732,5.0,16000000
Great Wall,H6,2016,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,155000,5.0,40000000
Skoda,Felicia,1995,Usado,Gasolina,Azul,Mecánica,Sí,Persona Natural,200000,5.0,5000000
Toyota,Land Cruiser,1982,Usado,Gasolina,Verde,Mecánica,No,Persona Natural,21580,5.0,30000000
Chevrolet,Super Carry,2005,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,186000,4.0,13500000
Honda,CR-V,2005,Usado,Gasolina,Plateado,Automática,Sí,Persona Natural,72000,5.0,32000000
Renault,Sandero,2012,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,50000,4.0,23800000
Chevrolet,Aveo,2007,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,131000,2.0,13200000
Renault,Megane,2002,Usado,Gasolina,Verde,Mecánica,No,Persona Natural,158000,4.0,9200000
Chevrolet,Spark GT,2019,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,4800,4.0,30600000
Chevrolet,Spark,2017,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,85000,4.0,19500000
Mazda,B-2600,2006,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,178472,4.0,28500000
Nissan,Kicks,2019,Usado,Gasolina,Blanco,Automática,Sí,Persona Natural,17000,5.0,66000000
Mazda,323,1990,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,376097,2.0,7000000
Renault,Fluence,2011,Usado,Gasolina,Rojo,Mecánica,Sí,Persona Natural,85671,4.0,19500000
Renault,Megane,2002,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,135000,5.0,8500000
Renault,Sandero,2011,Usado,Gasolina,Gris,Mecánica,No,Vendedor Profesional,52000,4.0,19500000
Hyundai,Tucson,2016,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,7600,5.0,81700000
Hyundai,Tucson ix-35,2012,Usado,Diesel,Gris,Mecánica,No,Persona Natural,89800,5.0,41500000
Renault,Clio,1998,Usado,Gasolina,Verde,Mecánica,No,Persona Natural,280000,5.0,7000000
Chevrolet,Aveo,2012,Usado,Gasolina,Gris,Mecánica,No,Vendedor Profesional,101000,4.0,18000000
Chevrolet,Luv,2018,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,35700,2.0,41000000
Renault,Symbol,2003,Usado,Gasolina,Beige,Automática,No,Persona Natural,208433,5.0,10300000
Kia,New Sportage,2018,Usado,Gasolina,Gris,Automática,Sí,Persona Natural,17000,5.0,88000000
Toyota,Hilux,2014,Usado,Diesel,Blanco,Mecánica,Sí,Persona Natural,120284,4.0,78000000
Renault,Twingo,2005,Usado,Gasolina,Rojo,Mecánica,No,Persona Natural,173000,2.0,10500000
Nissan,Kicks,2018,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,6100,5.0,54000000
Chevrolet,Sail,2017,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,36000,5.0,25500000
Otro,Matiz,2002,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,223000,4.0,8500000
Chevrolet,Optra,2007,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,125000,5.0,16500000
Nissan,Qashqai,2019,Usado,Gasolina,Gris,Automática Secuencial,No,Persona Natural,20200,5.0,83200000
Renault,Logan,2006,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,149000,5.0,14000000
Chevrolet,Sprint,1995,Usado,Gasolina,Verde,Mecánica,Sí,Persona Natural,180000,4.0,6000000
Renault,Otros Modelos,2017,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,49600,5.0,26000000
Volkswagen,Gol,2011,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,95000,4.0,20000000
Mazda,3,2008,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,100000,5.0,24500000
Chevrolet,Aveo,2007,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,160000,4.0,14800000
Chevrolet,Corsa 4 Ptas.,2004,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,238467,5.0,9000000
Renault,Clio,2006,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,500000,5.0,13500000
Toyota,Land Cruiser,2005,Usado,Gasolina,Azul,Mecánica,No,Vendedor Profesional,160000,2.0,82000000
Chery,QQ,2011,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,200000,4.0,10000000
Suzuki,Grand Vitara,2009,Usado,Gasolina,Gris,Automática,No,Persona Natural,176500,5.0,27800000
Chevrolet,Spark GT,2015,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,47000,4.0,26000000
Chevrolet,Sail,2015,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,85000,4.0,21800000
Mazda,626,1999,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,180000,5.0,9900000
Chevrolet,Trooper,1996,Usado,Gasolina,Azul,Mecánica,Sí,Persona Natural,200280,3.0,18000000
Chery,Grand Tiggo,2015,Usado,Gasolina,Marrón,Mecánica,Sí,Persona Natural,30000,5.0,39900000
Volkswagen,Jetta,2012,Usado,Gasolina,Gris,Automática Secuencial,No,Persona Natural,97000,5.0,26000000
Mazda,Mazda 6,2004,Usado,Gasolina,Gris,Mecánica,Sí,Vendedor Profesional,186500,4.0,13000000
Renault,Clio,2015,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,52000,4.0,21000000
Kia,Rio,2011,Usado,Gasolina,Negro,Mecánica,No,Persona Natural,99500,5.0,22800000
Chevrolet,Sprint,2002,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,102500,5.0,10500000
Mazda,2,2009,Usado,Gasolina,Gris,Automática,No,Persona Natural,106000,4.0,21500000
Hyundai,Atos,2000,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,213000,5.0,7500000
Chevrolet,Captiva,2011,Usado,Gasolina,Plateado,Automática Secuencial,No,Persona Natural,98000,5.0,28000000
Chevrolet,Aveo,2011,Usado,Gasolina,Negro,Mecánica,No,Persona Natural,77000,3.0,19300000
Volkswagen,Crossfox,2013,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,83000,5.0,27000000
Mazda,CX9,2017,Usado,Gasolina,Otro,Automática Secuencial,No,Persona Natural,21000,5.0,116900000
Renault,Clio,2008,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,149000,4.0,14300000
Chevrolet,Spark,2009,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,120000,5.0,12000000
Renault,Sandero Stepway,2019,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,11111,5.0,43000000
Chevrolet,Sprint,1994,Usado,Gasolina,Vinotinto,Mecánica,Sí,Persona Natural,40000,5.0,8500000
Mazda,Mazda 2,2018,Usado,Gasolina,Negro,Automática,Sí,Persona Natural,39000,4.0,49500000
Chevrolet,Swift,1993,Usado,Gasolina,Rojo,Mecánica,No,Persona Natural,60000,4.0,5000000
Mazda,B-2600,2007,Usado,Gasolina,Dorado,Mecánica,No,Persona Natural,168000,4.0,26000000
Volkswagen,Jetta,2014,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,73000,4.0,26990000
Mazda,2,2010,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,126000,5.0,22500000
Toyota,RAV4,2002,Usado,Gasolina,Blanco,Automática,No,Persona Natural,136000,5.0,22000000
Ford,Fiesta,2005,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,267000,5.0,10000000
Chevrolet,Corsa 2 Ptas.,2006,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,194000,2.0,12000000
Chevrolet,Esteem,2002,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,191000,5.0,9300000
Suzuki,Alto,2013,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,53777,5.0,14000000
Toyota,Otros Modelos,2012,Usado,Diesel,Blanco,Automática,No,Persona Natural,114000,4.0,111000000
Kia,Stylus,2011,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,440000,5.0,11500000
Mazda,2,2010,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,109000,5.0,23000000
Mazda,CX7,2007,Usado,Gasolina,Dorado,Automática Secuencial,No,Persona Natural,118500,5.0,35900000
Hyundai,Accent,2011,Usado,Gasolina,Otro,Mecánica,Sí,Vendedor Profesional,120000,5.0,18000000
Renault,Twingo,2011,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,62872,2.0,14000000
Chevrolet,Sonic,2015,Usado,Gasolina,Gris,Automática,Sí,Persona Natural,34000,5.0,34000000
Chevrolet,Super Carry,2001,Usado,Gasolina,Verde,Mecánica,Sí,Persona Natural,87735,3.0,12000000
Ford,Escape,2013,Usado,Gasolina,Gris,Automática,No,Persona Natural,64000,5.0,45000000
Chevrolet,Sail,2019,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,15000,4.0,28900000
Renault,Symbol,2010,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,107600,5.0,15500000
Nissan,Frontier,2011,Usado,Diesel,Gris,Mecánica,No,Persona Natural,107999,4.0,40000000
Mazda,CX9,2019,Usado,Gasolina,Azul,Automática Secuencial,Sí,Persona Natural,17300,5.0,131900000
Chevrolet,Chevette,1994,Usado,Gasolina,Rojo,Mecánica,Sí,Persona Natural,150000,5.0,2000000
Renault,Sandero,2016,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,76000,4.0,28000000
Renault,R9,1997,Usado,Gasolina,Verde,Mecánica,No,Persona Natural,237567,5.0,6200000
Nissan,Frontier,2014,Usado,Gasolina,Rojo,Mecánica,No,Persona Natural,140000,4.0,36000000
Chevrolet,Spark GT,2019,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,10000,5.0,36000000
Ford,Explorer,2016,Usado,Gasolina,Blanco,Automática,No,Persona Natural,65000,5.0,97000000
Renault,Symbol,2003,Usado,Gasolina,Verde,Mecánica,No,Persona Natural,160000,4.0,10200000
Toyota,Corolla,2019,Usado,Gasolina,Azul,Automática,Sí,Persona Natural,27000,4.0,64000000
Hyundai,Tucson,2016,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,81258,4.0,49000000
Chevrolet,N200,2012,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,115000,4.0,18000000
Renault,Twingo,2008,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,149000,3.0,10800000
Volkswagen,Gol,1996,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,200000,5.0,5800000
Renault,Logan,2019,Usado,Gasolina,Vinotinto,Mecánica,Sí,Persona Natural,4500,5.0,35000000
Chevrolet,Aveo,2013,Usado,Gasolina,Beige,Mecánica,No,Persona Natural,55000,4.0,19500000
Chevrolet,Dmax,2012,Usado,Diesel,Blanco,Mecánica,No,Persona Natural,228000,4.0,51000000
Renault,Duster,2017,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,33500,4.0,46000000
Chevrolet,Aveo,2009,Usado,Gasolina,Rojo,Mecánica,Sí,Persona Natural,58000,4.0,14000000
Chevrolet,Aveo,2006,Usado,Gasolina,Negro,Mecánica,No,Persona Natural,150000,3.0,13500000
Renault,Sandero,2010,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,170000,5.0,17000000
Renault,Sandero,2020,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,2500,5.0,37000000
Renault,Clio,2009,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,79000,5.0,16500000
DFM,Van,2011,Usado,Gasolina,Blanco,Mecánica,No,Vendedor Profesional,97333,5.0,14000000
Mazda,2,2008,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,127000,5.0,21000000
Chevrolet,Grand Vitara,2005,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,191000,5.0,19900000
Kia,Cerato Forte,2010,Usado,Gasolina,Negro,Automática Secuencial,No,Persona Natural,125000,4.0,25499000
Renault,Sandero,2011,Usado,Gasolina,Gris,Mecánica,No,Vendedor Profesional,75680,5.0,20500000
Chevrolet,Corsa 2 Ptas.,2005,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,129000,2.0,11000000
Renault,Logan,2011,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,50500,4.0,22000000
Mazda,323,1994,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,430000,5.0,6000000
Renault,Clio,2010,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,103000,5.0,19000000
Chevrolet,Aveo,2008,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,148000,4.0,15500000
Skoda,Forman,1994,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,142000,4.0,4800000
Renault,Duster,2019,Usado,Gasolina y Gas,Blanco,Mecánica,Sí,Persona Natural,8600,5.0,57000000
Hyundai,Terracan,2007,Usado,Diesel,Otro,Mecánica,No,Persona Natural,163000,5.0,30000000
Chevrolet,Captiva,2008,Usado,Gasolina,Negro,Automática,No,Persona Natural,11200,4.0,22000000
Chevrolet,Luv D-Max,2016,Usado,Diesel,Beige,Mecánica,Sí,Persona Natural,90000,4.0,76000000
Chevrolet,Grand Vitara,2008,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,147000,5.0,25500000
Hyundai,i25,2012,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,68200,4.0,27200000
BMW,X1,2017,Usado,Gasolina,Blanco,Automática,Sí,Persona Natural,41000,5.0,82000000
Renault,R9,1988,Usado,Gasolina,Azul,Mecánica,No,Vendedor Profesional,178000,4.0,3850000
Chevrolet,Spark GT,2013,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,92000,4.0,23000000
Ford,Ecosport,2009,Usado,Gasolina,Beige,Mecánica,No,Persona Natural,180000,4.0,25000000
Chevrolet,Corsa 4 Ptas.,1998,Usado,Gasolina,Rojo,Mecánica,No,Persona Natural,187500,4.0,8800000
Chevrolet,Aveo,2008,Usado,Gasolina,Gris,Automática,No,Persona Natural,34000,3.0,16000000
Renault,Twingo,2010,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,50432,2.0,13000000
Toyota,Prado,2007,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,159000,2.0,38000000
Mazda,2,2010,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,113000,5.0,23900000
Chevrolet,Spark GT,2015,Usado,Gasolina,Negro,Mecánica,No,Persona Natural,57500,5.0,23500000
Renault,Kwid,2020,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,3100,5.0,31500000
Renault,Logan,2006,Usado,Gasolina,Azul,Automática,Sí,Persona Natural,110900,4.0,13900000
Chevrolet,Aveo Emotion,2011,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,88000,5.0,19500000
Renault,Duster,2017,Usado,Gasolina y Gas,Blanco,Mecánica,Sí,Persona Natural,60500,5.0,35000000
Mazda,Mazda 3,2013,Usado,Gasolina,Blanco,Automática Secuencial,No,Persona Natural,86000,5.0,38000000
Mazda,Mazda 6,2014,Usado,Gasolina,Rojo,Automática,No,Persona Natural,76000,4.0,48000000
Renault,Sandero,2017,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,41000,5.0,28300000
Renault,Clio,2008,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,109000,5.0,15000000
Ford,Fiesta,2016,Usado,Gasolina,Blanco,Mecánica,Sí,Persona Natural,48600,5.0,33500000
Volkswagen,Jetta,2014,Usado,Gasolina,Gris,Mecánica,No,Vendedor Profesional,78000,5.0,28000000
Nissan,Qashqai,2015,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,58000,5.0,58000000
Nissan,March,2014,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,85050,5.0,21000000
Chevrolet,Astra,2004,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,145000,5.0,11400000
Kia,Sportage,2016,Usado,Gasolina,Gris,Automática,No,Persona Natural,53000,5.0,67500000
Chevrolet,Aveo,2008,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,117000,4.0,20000000
Hyundai,Tucson ix-35,2014,Usado,Diesel,Plateado,Automática Secuencial,Sí,Persona Natural,118500,5.0,47800000
Chevrolet,Aveo,2008,Usado,Gasolina,Negro,Mecánica,Sí,Persona Natural,86000,2.0,15800000
Ford,Fusion,2014,Usado,Gasolina,Blanco,Automática Secuencial,No,Persona Natural,53000,5.0,48000000
Toyota,Land Cruiser,1985,Usado,Gasolina,Verde,Mecánica,No,Persona Natural,200000,2.0,23800000
Ssangyong,Actyon,2011,Usado,Gasolina y Gas,Negro,Mecánica,Sí,Persona Natural,99000,5.0,29000000
Renault,Clio,2008,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,128400,4.0,14000000
Chevrolet,Aveo Emotion,2009,Usado,Gasolina,Gris,Automática,No,Persona Natural,125000,5.0,17000000
Kia,Picanto,2007,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,160284,4.0,12500000
Chevrolet,Aveo,2008,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,114500,4.0,16750000
Renault,Sandero,2013,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,61000,4.0,23500000
Chevrolet,Sail,2013,Usado,Gasolina,Gris,Mecánica,No,Vendedor Profesional,90000,5.0,22500000
Chevrolet,Spark,2013,Usado,Gasolina,Negro,Mecánica,No,Persona Natural,74000,4.0,23000000
Toyota,Prado,2007,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,140000,4.0,48800000
Chevrolet,Sail,2013,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,96000,4.0,22500000
Renault,Sandero,2012,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,71800,4.0,21000000
Mazda,CX5,2018,Usado,Gasolina,Blanco,Automática,Sí,Persona Natural,17500,5.0,105000000
Volkswagen,Amarok,2011,Usado,Diesel,Verde,Mecánica,No,Persona Natural,141000,4.0,58000000
Chevrolet,Optra,2004,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,274000,5.0,10500000
Chevrolet,Optra,2006,Usado,Gasolina,Gris,Automática,Sí,Persona Natural,135000,5.0,14800000
Chevrolet,Swift,1993,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,54000,4.0,5500000
Renault,Clio,2008,Usado,Gasolina,Vinotinto,Mecánica,No,Persona Natural,114000,5.0,16000000
Mazda,Mazda 3,2016,Usado,Gasolina,Rojo,Automática,Sí,Persona Natural,42880,5.0,45000000
Volkswagen,Gol,1998,Usado,Gasolina,Gris,Mecánica,No,Vendedor Profesional,57000,3.0,5200000
Chevrolet,Corsa 4 Ptas.,1997,Usado,Gasolina,Rojo,Mecánica,No,Persona Natural,22000,5.0,8500000
Renault,Symbol,2003,Usado,Gasolina y Gas,Gris,Mecánica,No,Persona Natural,171000,4.0,14000000
Mazda,Mazda 3,2017,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,41971,4.0,45300000
Toyota,Corolla,2009,Usado,Gasolina,Otro,Mecánica,No,Persona Natural,168000,4.0,28000000
Chevrolet,Aveo Emotion,2010,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,90235,3.0,17000000
Chevrolet,Sprint,1988,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,33300,5.0,4500000
Kia,Sportage,2016,Usado,Gasolina,Negro,Automática,Sí,Persona Natural,80437,5.0,55900000
Mitsubishi,Montero,1997,Usado,Gasolina,Rojo,Mecánica,No,Persona Natural,250000,3.0,17000000
Chevrolet,Corsa 2 Ptas.,2006,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,173000,2.0,10300000
JEEP,Wrangler,2008,Usado,Gasolina,Gris,Automática,No,Persona Natural,188000,5.0,85000000
Renault,Symbol,2001,Usado,Gasolina,Verde,Mecánica,Sí,Persona Natural,270000,5.0,7800000
Chevrolet,Aveo,2011,Usado,Gasolina,Negro,Mecánica,No,Persona Natural,99958,4.0,20480000
Chevrolet,Spark,2012,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,183000,4.0,16500000
Renault,Twingo,2006,Usado,Gasolina,Beige,Mecánica,No,Persona Natural,143000,2.0,9900000
Renault,Twingo,2006,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,177030,3.0,9800000
Chevrolet,Tracker,2015,Usado,Gasolina,Crema,Automática,No,Persona Natural,42000,4.0,44000000
Chevrolet,Tracker,2013,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,92000,5.0,32000000
Kia,Rio,2017,Usado,Gasolina,Otro,Automática Secuencial,No,Vendedor Profesional,29000,5.0,42500000
Mazda,Mazda 3,2007,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,85000,4.0,22000000
Chevrolet,Spark GT,2011,Usado,Gasolina,Plateado,Mecánica,No,Persona Natural,108000,4.0,18800000
Chery,Yoya,2014,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,77500,5.0,18000000
Chevrolet,Esteem,1997,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,260277,4.0,8200000
Renault,Duster,2017,Usado,Gasolina,Gris,Automática,No,Persona Natural,37500,5.0,45000000
Skoda,Felicia,2000,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,453651,4.0,5000000
